WAVELENGTH,FLUX,ERROR
761.783,1.1073,0.6217
761.959,0.5854,0.4216
762.134,0.6203,0.5133
762.309,1.1048,0.6297
762.485,1.0000,1.0000
762.661,0.9673,0.4696
762.836,0.9239,0.4324
763.012,1.3710,0.4461
763.188,0.9399,0.6509
763.363,0.8308,0.6424
763.539,0.9774,0.4424
763.715,0.5266,0.5253
763.891,0.7824,0.6105
764.067,0.9783,0.6041
764.243,1.0000,1.0000
764.419,1.0000,1.0000
764.595,1.1875,0.6141
764.771,1.0000,1.0000
764.947,1.0899,0.8909
765.123,0.6202,0.4139
765.299,1.4216,0.5623
765.476,0.4861,0.5038
765.652,0.7390,0.4031
765.828,1.0000,1.0000
766.005,1.0000,1.0000
766.181,1.6004,0.5572
766.357,1.0000,1.0000
766.534,1.0000,1.0000
766.710,0.7115,0.6149
766.887,1.0000,1.0000
767.064,1.0000,1.0000
767.240,1.1995,0.8963
767.417,1.3645,0.5775
767.594,0.5880,0.5011
767.770,0.6978,0.5355
767.947,1.0000,1.0000
768.124,1.0000,1.0000
768.301,1.0000,1.0000
768.478,1.0408,0.8874
768.655,0.6041,0.5517
768.832,1.0812,0.5399
769.009,0.8846,0.4007
769.186,1.0000,1.0000
769.363,1.0000,1.0000
769.540,1.0195,0.8859
769.717,1.0323,0.5001
769.895,0.9837,0.4121
770.072,0.7437,0.4124
770.249,1.1733,0.5154
770.427,0.5487,0.5084
770.604,0.7151,0.5024
770.782,1.0000,1.0000
770.959,1.7102,0.5575
771.137,0.5592,0.5117
771.314,1.1607,0.4723
771.492,1.3094,0.5358
771.669,0.9260,0.4617
771.847,0.7748,0.4312
772.025,0.4111,0.4356
772.203,0.7542,0.3780
772.381,0.8815,0.5248
772.558,1.0000,1.0000
772.736,0.9889,0.3353
772.914,1.0151,0.3943
773.092,1.0000,1.0000
773.270,1.0000,1.0000
773.448,0.7877,0.3881
773.627,0.9389,0.3159
773.805,1.1337,0.3645
773.983,0.6496,0.4472
774.161,1.0000,1.0000
774.339,0.7457,0.3792
774.518,0.5421,0.4389
774.696,1.0000,1.0000
774.875,0.6615,0.5635
775.053,1.0000,1.0000
775.231,0.5730,0.4560
775.410,1.0000,1.0000
775.588,0.6827,0.5468
775.767,0.5983,0.3710
775.946,1.0000,1.0000
776.124,0.5486,0.4532
776.303,1.0647,0.3743
776.482,0.5411,0.4357
776.661,0.6172,0.4489
776.840,1.4856,0.4027
777.018,1.4508,0.5553
777.197,1.2816,0.3931
777.376,0.7240,0.3785
777.555,1.1732,0.5150
777.734,0.9718,0.5271
777.914,0.9041,0.5550
778.093,1.0554,0.3969
778.272,0.4233,0.3473
