WAVELENGTH,FLUX,ERROR
827.811,1.0675,0.1808
828.002,1.2734,0.2924
828.193,1.1540,0.2633
828.383,1.1990,0.1898
828.574,1.0388,0.2025
828.765,1.3699,0.2318
828.956,1.5878,0.2344
829.147,0.8624,0.1841
829.338,1.0047,0.1900
829.529,1.2842,0.2159
829.720,0.8525,0.1878
829.911,1.5055,0.2323
830.102,1.1373,0.1869
830.293,0.9918,0.2453
830.484,1.3726,0.1964
830.675,1.1719,0.1875
830.867,0.7967,0.1955
831.058,1.5104,0.2208
831.249,1.1239,0.1843
831.441,1.1907,0.2002
831.632,1.4643,0.2003
831.824,1.4746,0.1917
832.015,1.1412,0.1838
832.207,1.1119,0.1799
832.399,1.1260,0.1769
832.590,1.0884,0.1861
832.782,1.2513,0.1973
832.974,1.2078,0.1826
833.166,1.0343,0.1885
833.358,0.9007,0.1992
833.549,1.1994,0.2134
833.741,1.7610,0.1911
833.933,1.0218,0.1795
834.125,1.2511,0.2424
834.317,0.9161,0.1814
834.510,0.9980,0.1851
834.702,1.4507,0.1940
834.894,1.2095,0.2195
835.086,1.1261,0.2288
835.279,1.4971,0.2519
835.471,1.1634,0.1976
835.663,0.9438,0.2337
835.856,0.8116,0.2095
836.048,1.1573,0.2226
836.241,1.0405,0.1864
836.433,1.5115,0.2152
836.626,1.2424,0.1863
836.819,0.9661,0.1605
837.011,1.1860,0.1742
837.204,1.4880,0.2060
837.397,0.9534,0.1612
837.590,0.9561,0.1578
837.783,1.0079,0.1694
837.976,1.0601,0.1773
838.169,1.5935,0.1972
838.361,1.1744,0.2190
838.555,1.4783,0.2052
838.748,1.1470,0.1817
838.941,1.1441,0.2090
839.134,1.5854,0.2151
839.327,1.0097,0.1514
839.521,1.0475,0.2292
839.714,1.3031,0.1834
839.907,0.9083,0.1656
840.101,1.1596,0.1924
840.294,1.1000,0.1819
840.488,0.8881,0.1546
840.681,1.0505,0.1505
840.875,1.1867,0.1869
841.068,1.0467,0.1655
841.262,1.0222,0.1536
841.456,1.0853,0.1668
841.650,1.2188,0.1790
841.843,1.1447,0.1933
842.037,1.3752,0.2014
842.231,1.4605,0.2127
842.425,1.1268,0.1632
842.619,1.0413,0.1697
842.813,0.9028,0.1795
843.007,0.9864,0.1549
843.201,1.4123,0.1743
843.396,1.1544,0.1661
843.590,0.9850,0.1658
843.784,0.8441,0.1498
843.978,0.8480,0.1550
844.173,1.0707,0.2004
844.367,1.1023,0.1776
844.562,0.8096,0.1656
844.756,1.1091,0.1731
844.951,1.2685,0.2096
845.145,0.9845,0.2091
845.340,1.6321,0.1980
845.534,1.1533,0.1635
845.729,1.8969,0.1987
845.924,1.3531,0.1710
846.119,1.4421,0.1873
846.314,1.2654,0.1685
846.509,1.3393,0.1545
846.703,1.1438,0.1713
846.898,1.1193,0.1527
847.093,1.1426,0.1754
847.289,1.3117,0.1929
847.484,1.2116,0.1736
847.679,1.1294,0.1753
847.874,1.5969,0.1846
848.069,1.0961,0.1383
848.265,1.1115,0.1533
848.460,1.3764,0.1808
848.655,0.8991,0.1808
848.851,1.0769,0.1627
849.046,1.7125,0.2274
849.242,1.1394,0.1692
849.437,1.0256,0.1678
849.633,1.0857,0.1724
849.829,1.0332,0.1728
850.024,1.0790,0.1402
850.220,1.6737,0.2054
850.416,1.1118,0.1975
850.612,0.8528,0.1542
850.808,0.9925,0.1445
851.003,1.0216,0.1371
851.199,1.1525,0.1420
851.396,1.1281,0.1608
851.591,1.0331,0.1473
851.788,1.0256,0.1388
851.984,1.6724,0.1699
852.180,1.3042,0.1663
852.376,1.1581,0.1657
852.573,1.1285,0.1483
852.769,1.3735,0.1547
852.965,1.1771,0.1479
853.162,0.9555,0.1288
853.358,1.0842,0.1588
853.555,1.5285,0.1747
853.751,1.2210,0.1515
853.948,0.9033,0.1292
854.144,0.9730,0.1225
854.341,0.9357,0.1358
854.538,1.1760,0.1582
854.735,1.0775,0.1477
854.932,1.2205,0.1564
855.128,1.1474,0.1495
855.325,1.2295,0.1703
855.522,1.3924,0.1373
