WAVELENGTH,FLUX,ERROR
781.324,0.8627,0.3995
781.504,0.8623,0.6101
781.684,0.8683,0.3401
781.864,1.2134,0.4227
782.044,0.9526,0.5680
782.224,0.9014,0.4843
782.404,1.0034,0.3580
782.585,1.1686,0.4033
782.765,1.1334,0.5613
782.945,0.7615,0.4281
783.125,1.0513,0.3977
783.306,0.5785,0.5747
783.486,1.0000,1.0000
783.667,1.0000,1.0000
783.847,0.5780,0.3886
784.028,0.8912,0.4108
784.208,1.2688,0.3790
784.389,1.0748,0.4116
784.569,0.9388,0.4512
784.750,0.7747,0.4666
784.931,0.7477,0.4454
785.112,1.2870,0.4896
785.292,1.6498,0.4279
785.473,0.8042,0.3306
785.654,1.8448,0.8736
785.835,1.0000,1.0000
786.016,1.0128,0.4237
786.197,1.3961,0.4228
786.378,1.0907,0.4012
786.559,0.5331,0.3971
786.740,1.0000,1.0000
786.921,1.1044,0.4444
787.103,1.2995,0.6620
787.284,0.6415,0.3845
787.465,0.6316,0.4595
787.646,1.0000,1.0000
787.828,0.6797,0.4336
788.009,1.0000,1.0000
788.191,1.7380,0.5579
788.372,0.5857,0.4474
788.554,0.4989,0.3236
788.735,1.5495,0.5321
788.917,0.8964,0.5312
789.099,1.3884,0.7273
789.280,1.0000,1.0000
789.462,0.7928,0.5537
789.644,0.6808,0.3653
789.826,0.8448,0.3841
790.008,0.4245,0.3723
790.190,1.0123,0.3854
790.372,0.7962,0.4077
790.554,1.3365,0.4368
790.736,2.0364,0.5736
790.918,0.7862,0.3768
791.100,0.8338,0.5117
791.282,0.7976,0.4393
791.464,1.0879,0.5294
791.647,0.7956,0.4218
791.829,0.5639,0.3901
792.011,1.0675,0.6101
792.194,0.7368,0.3589
792.376,0.8909,0.3663
792.558,1.1466,0.8695
792.741,0.7897,0.5250
792.924,0.8186,0.3076
793.106,1.0079,0.3246
793.289,0.8418,0.3160
793.471,1.2054,0.4289
793.654,0.9977,0.5979
793.837,0.5906,0.3627
794.020,1.2781,0.6209
794.203,1.1478,0.5939
794.386,1.0000,1.0000
794.568,1.2033,0.3737
794.751,0.7904,0.3825
794.935,1.1096,0.5309
795.117,0.8104,0.3560
795.301,1.3790,0.3488
795.484,0.5613,0.3855
795.667,0.6089,0.4864
795.850,0.9637,0.4640
796.034,0.6811,0.4157
796.217,1.0592,0.3787
796.400,0.6963,0.2941
796.584,0.6192,0.4117
796.767,0.7745,0.3421
796.951,0.5624,0.3814
797.134,1.0876,0.4993
797.318,0.8560,0.2902
797.501,1.0603,0.3406
797.685,1.1714,0.4852
797.869,1.4694,0.4746
798.052,1.0154,0.5328
798.236,1.0000,1.0000
798.420,0.5935,0.3689
798.604,0.9174,0.5646
798.788,0.8805,0.3276
798.972,1.1854,0.3809
799.156,1.0000,1.0000
799.340,1.1210,0.4988
799.524,1.0547,0.2700
799.708,1.6761,0.6470
799.892,1.0117,0.3590
800.076,1.1257,0.3332
800.260,1.1608,0.3431
800.445,0.8504,0.3429
800.629,1.3104,0.5562
800.813,0.5025,0.3232
800.998,1.0331,0.5306
801.182,0.7975,0.5540
801.367,1.1196,0.5768
801.551,0.9103,0.3111
801.736,1.0732,0.4556
801.921,0.8270,0.3775
802.105,0.8636,0.3078
802.290,0.7622,0.3031
802.475,0.6797,0.4863
802.659,0.6770,0.5279
802.844,1.0535,0.7727
803.029,0.7160,0.4780
803.214,0.5455,0.3038
803.399,0.9097,0.7764
803.584,0.7787,0.3926
803.769,0.9225,0.3858
803.954,0.4852,0.3783
804.139,0.5499,0.4741
804.325,1.0000,1.0000
804.510,0.7721,0.4949
804.695,0.6287,0.2951
804.880,0.6865,0.3406
805.066,0.7157,0.3348
805.251,1.1468,0.3917
805.437,0.9331,0.3051
805.622,1.2678,0.2922
805.807,0.9792,0.4636
805.993,1.0387,0.6753
806.179,0.9974,0.4706
806.364,1.4434,0.4643
806.550,1.6827,0.8146
806.736,0.6799,0.4980
806.922,0.6168,0.3328
807.107,0.7021,0.3188
807.293,1.2859,0.8422
807.479,0.5919,0.2925
807.665,0.6522,0.2826
807.851,0.8978,0.3400
